State,Program Name,Program Type,Eligibility Group,"If Other, Describe Eligibility Group","MCO, PIHP, or PAHP Name",MLR Reporting Period Start Date,MLR Reporting Period End Date,Report Year,MLR Numerator,MLR Denominator,State-Reported Member Months,Adjusted MLR,Remittance Dollar Amount for MLR Reporting Period
AR,PASSE,Comprehensive MCO + MLTSS,All populations,,Empower,1/1/2020,12/31/2020,2020,349185231.0,407515879.0,208988.0,,
AR,PASSE,Comprehensive MCO + MLTSS,All populations,,Summit Community Care,1/1/2020,12/31/2020,2020,391567624.0,436167642.0,173186.0,,
AZ,AHCCCS CMDP ,Comprehensive MCO + MLTSS,All populations,,DCS/CMDP,7/1/2017,6/30/2018,2018,40091749.0,41746395.0,174154.0,,
AZ,AHCCCS DDD,Comprehensive MCO + MLTSS,All populations,,"DES/Division of 
Developmental Disabilities",7/1/2017,6/30/2018,2018,1376266623.0,1418701282.0,378956.0,,
AZ,AHCCCS Acute,Comprehensive MCO + MLTSS,All populations,,AZCH-HNA,10/1/2017,9/30/2018,2018,223708802.0,243047330.0,732078.0,,
AZ,AHCCCS Acute,Comprehensive MCO + MLTSS,All populations,,BUFC,10/1/2017,9/30/2018,2018,456581265.0,473674849.0,1639684.0,,
AZ,AHCCCS Acute,Comprehensive MCO + MLTSS,All populations,,Care 1st,10/1/2017,9/30/2018,2018,411480734.0,444212595.0,1780052.0,,
AZ,AHCCCS Acute,Comprehensive MCO + MLTSS,All populations,,Mercy,10/1/2017,9/30/2018,2018,1319591736.0,1378567185.0,4540159.0,,
AZ,AHCCCS Acute,Comprehensive MCO + MLTSS,All populations,,SHCA,10/1/2017,9/30/2018,2018,745847014.0,836458116.0,3077781.0,,
AZ,AHCCCS Acute,Comprehensive MCO + MLTSS,All populations,,UHC,10/1/2017,9/30/2018,2018,1674645184.0,1740110771.0,6314270.0,,
AZ,AHCCCS Acute,Comprehensive MCO + MLTSS,All populations,,UHC-CRS,10/1/2017,9/30/2018,2018,301170919.0,300311472.0,283275.0,,
AZ,AHCCCS ALTCS ,Comprehensive MCO + MLTSS,All populations,,BUFC - ALTCS,10/1/2017,9/30/2018,2018,269977739.0,265446774.0,76023.0,,
AZ,AHCCCS ALTCS ,Comprehensive MCO + MLTSS,All populations,,Mercy - ALTCS,10/1/2017,9/30/2018,2018,591857143.0,555796371.0,152551.0,,
AZ,AHCCCS ALTCS ,Comprehensive MCO + MLTSS,All populations,,UHC - ALTCS,10/1/2017,9/30/2018,2018,318270297.0,322327671.0,106890.0,,
AZ,AHCCCS RBHA,Comprehensive MCO + MLTSS,All populations,,CIC,10/1/2017,9/30/2018,2018,592405956.0,660388884.0,5265552.0,,
AZ,AHCCCS RBHA,Comprehensive MCO + MLTSS,All populations,,HCIC,10/1/2017,9/30/2018,2018,223410523.0,246690117.0,1887165.0,,
AZ,AHCCCS RBHA,Comprehensive MCO + MLTSS,All populations,,MMIC,10/1/2017,9/30/2018,2018,1213235615.0,1283001634.0,10913261.0,,
AZ,AHCCCS CMDP ,Comprehensive MCO + MLTSS,All populations,,DCS/CMDP,7/1/2018,6/30/2019,2019,37580343.0,46624203.0,156965.0,,
AZ,AHCCCS DDD,Comprehensive MCO + MLTSS,All populations,,"DES/Division of 
Developmental Disabilities",7/1/2018,6/30/2019,2019,1535327144.0,1642535298.0,398695.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,AZCH,10/1/2018,9/30/2019,2019,808529496.0,870503615.0,2376349.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,BUFC,10/1/2018,9/30/2019,2019,823177392.0,862197215.0,2336219.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,Care 1st,10/1/2018,9/30/2019,2019,673875064.0,701484429.0,2187296.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,Magellan,10/1/2018,9/30/2019,2019,58759761.0,62670836.0,115976.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,Mercy,10/1/2018,9/30/2019,2019,1437528588.0,1619588860.0,4052926.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,SHCA,10/1/2018,9/30/2019,2019,803324000.0,876896947.0,2571754.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,UHC,10/1/2018,9/30/2019,2019,1526175410.0,1630354422.0,4417449.0,,
AZ,AHCCCS ALTCS,Comprehensive MCO + MLTSS,All populations,,BUFC-ALTCS,10/1/2018,9/30/2019,2019,300233607.0,308772368.0,79658.0,,
AZ,AHCCCS ALTCS,Comprehensive MCO + MLTSS,All populations,,Mercy-ALTCS,10/1/2018,9/30/2019,2019,618876548.0,632010868.0,154186.0,,
AZ,AHCCCS ALTCS,Comprehensive MCO + MLTSS,All populations,,UHC-ALTCS,10/1/2018,9/30/2019,2019,385056002.0,381611407.0,115520.0,,
AZ,AHCCCS RBHA,Comprehensive MCO + MLTSS,All populations,,AzCH-RBHA,10/1/2018,9/30/2019,2019,332208555.0,370169467.0,5766287.0,,
AZ,AHCCCS RBHA,Comprehensive MCO + MLTSS,All populations,,MC-RBHA,10/1/2018,9/30/2019,2019,768951862.0,821536695.0,11330881.0,,
AZ,AHCCCS RBHA,Comprehensive MCO + MLTSS,All populations,,SHCA-RBHA,10/1/2018,9/30/2019,2019,125050511.0,139690986.0,2847340.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,AZCH,10/1/2019,9/30/2020,2020,851155355.0,922499475.0,2534280.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,BUFC,10/1/2019,9/30/2020,2020,947741424.0,1033653061.0,2748437.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,Care 1st,10/1/2019,9/30/2020,2020,654421755.0,736320047.0,2115557.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,HCA,10/1/2019,9/30/2020,2020,775080787.0,838674363.0,2423292.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,Magellan,10/1/2019,9/30/2020,2020,166121241.0,176242145.0,325222.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,Mercy,10/1/2019,9/30/2020,2020,1426573048.0,1618249079.0,4089902.0,,
AZ,AHCCCS ACC,Comprehensive MCO + MLTSS,All populations,,UHC,10/1/2019,9/30/2020,2020,1540247451.0,1639464512.0,4445619.0,,
AZ,AHCCCS ALTCS/EPD,Comprehensive MCO + MLTSS,All populations,,BUFC-ALTCS,10/1/2019,9/30/2020,2020,322972360.0,335791651.0,81466.0,,
AZ,AHCCCS ALTCS/EPD,Comprehensive MCO + MLTSS,All populations,,Mercy-ALTCS,10/1/2019,9/30/2020,2020,660967593.0,703899371.0,151488.0,,
AZ,AHCCCS ALTCS/EPD,Comprehensive MCO + MLTSS,All populations,,UHC-ALTCS,10/1/2019,9/30/2020,2020,404294946.0,413345673.0,114018.0,,
AZ,AHCCCS CMDP ,Comprehensive MCO + MLTSS,All populations,,DCS/CMDP,10/1/2019,9/30/2020,2020,43873540.0,53868550.0,162657.0,,
AZ,AHCCCS DDD,Comprehensive MCO + MLTSS,All populations,,"DES/Division of 
Developmental Disabilities",10/1/2019,9/30/2020,2020,1920536736.0,2141467841.0,424127.0,,
AZ,AHCCCS RBHA,Comprehensive MCO + MLTSS,All populations,,AZCH - RBHA,10/1/2019,9/30/2020,2020,321926166.0,368783051.0,6092621.0,,
AZ,AHCCCS RBHA,Comprehensive MCO + MLTSS,All populations,,HCA - RBHA,10/1/2019,9/30/2020,2020,124325333.0,137696346.0,2966808.0,,
AZ,AHCCCS RBHA,Comprehensive MCO + MLTSS,All populations,,Mercy - RBHA,10/1/2019,9/30/2020,2020,775782132.0,853741370.0,12092084.0,,
CA,AIDS Healthcare Foundation,Other PAHP,Other,HIV/AIDS,AIDS Healthcare Foundation,7/1/2017,6/30/2018,2018,6789186.0,11707149.0,8079.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,CalOptima,7/1/2017,6/30/2018,2018,2479073297.0,2573989272.0,7763065.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,CenCal Health,7/1/2017,6/30/2018,2018,600404179.0,761968059.0,2154865.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,Central California Alliance,7/1/2017,6/30/2018,2018,1064462113.0,1088962207.0,4231194.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,Gold Coast HP,7/1/2017,6/30/2018,2018,683423862.0,704316189.0,2432970.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,Partnership HP of  CA,7/1/2017,6/30/2018,2018,2446997734.0,2387354163.0,6827375.0,,
CA,"COHS, California Children's Service (CCS) Pilot",Comprehensive MCO + MLTSS,All populations,,HP of San Mateo,7/1/2017,6/30/2018,2018,379036237.0,428833284.0,1255918.0,,
CA,Dental Managed Care,Dental only,All populations,,Access Dental Plan,7/1/2017,6/30/2018,2018,33290572.0,46353585.0,3910843.0,,
CA,Dental Managed Care,Dental only,All populations,,Health Net Dental Plan,7/1/2017,6/30/2018,2018,33186195.0,49407369.0,3902273.0,,
CA,Dental Managed Care,Dental only,All populations,,Liberty Dental Plan,7/1/2017,6/30/2018,2018,25738348.0,35068240.0,2886464.0,,
CA,Geographic MC Model,Comprehensive MCO + MLTSS,All populations,,Community Health Group,7/1/2017,6/30/2018,2018,801219243.0,907745113.0,3206052.0,,
CA,Geographic MC Model,Comprehensive MCO + MLTSS,All populations,,Kaiser Foundation HP,7/1/2017,6/30/2018,2018,562755459.0,588268100.0,1688179.0,,
CA,"Regional Model, Geographic MC Model",Comprehensive MCO + MLTSS,All populations,,CA Health & Wellness,7/1/2017,6/30/2018,2018,647144236.0,713142161.0,2333760.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,Alameda Alliance for Health,7/1/2017,6/30/2018,2018,994646659.0,1045030182.0,3172188.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,CalViva Health,7/1/2017,6/30/2018,2018,1114094452.0,1180311144.0,4363263.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,Contra Cost HP,7/1/2017,6/30/2018,2018,720288937.0,768719349.0,2191081.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,HP of  San Joaquin,7/1/2017,6/30/2018,2018,955378220.0,1040716583.0,4179437.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,Inland Empire HP,7/1/2017,6/30/2018,2018,4211864356.0,4495533210.0,14164911.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,Kern Health Systems,7/1/2017,6/30/2018,2018,654730411.0,693582694.0,3025026.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,LA Care HP,7/1/2017,6/30/2018,2018,5424901648.0,5847034587.0,22393485.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,San Francisco Health Plan,7/1/2017,6/30/2018,2018,478129298.0,530633771.0,1605524.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,Santa Clara Family HP,7/1/2017,6/30/2018,2018,876688118.0,944835426.0,2799456.0,,
CA,"Two Plan Model, Geographic MC Model",Comprehensive MCO + MLTSS,All populations,,Blue Shield of California,7/1/2017,6/30/2018,2018,366743488.0,436981264.0,1013013.0,,
CA,"Two Plan Model, Geographic MC Model",Comprehensive MCO + MLTSS,All populations,,Health Net California,7/1/2017,6/30/2018,2018,4011394919.0,4533530303.0,16259331.0,,
CA,"Two Plan Model, Regional Model, Geographic MC Model",Comprehensive MCO + MLTSS,All populations,,Anthem Blue Cross,7/1/2017,6/30/2018,2018,2243291497.0,2529661243.0,9198070.0,,
CA,"Two Plan Model, Regional Model, Geographic MC Model",Comprehensive MCO + MLTSS,All populations,,Molina Healthcare,7/1/2017,6/30/2018,2018,1444729407.0,1668329303.0,5311167.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Aetna Better Health,1/1/2018,12/31/2018,2018,154248.0,301961.0,395.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Anthem Blue Cross,1/1/2018,12/31/2018,2018,51254880.0,56071540.0,137149.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Blue Shield of California,1/1/2018,12/31/2018,2018,85585652.0,97210829.0,153284.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,CalOptima,1/1/2018,12/31/2018,2018,395488230.0,419810551.0,911375.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Community Health Group,1/1/2018,12/31/2018,2018,59029052.0,60165197.0,170539.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Health Net California,1/1/2018,12/31/2018,2018,891649178.0,978809158.0,1587705.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Health Plan of San Mateo,1/1/2018,12/31/2018,2018,57826758.0,69591745.0,87350.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Inland Empire HP,1/1/2018,12/31/2018,2018,282763678.0,290157068.0,660073.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,KP Cal,1/1/2018,12/31/2018,2018,27979924.0,33705333.0,70984.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,LA Care  ,1/1/2018,12/31/2018,2018,1052364936.0,1127918841.0,2571749.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Molina Healthcare,1/1/2018,12/31/2018,2018,120917176.0,140832819.0,299123.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Santa Clara Family HP,1/1/2018,12/31/2018,2018,132726208.0,154841849.0,307896.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,SCAN Health Plan,1/1/2018,12/31/2018,2018,53172740.0,56526316.0,159224.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,United Healthcare,1/1/2018,12/31/2018,2018,464329.0,534021.0,893.0,,
CA,AIDS Healthcare Foundation,Other PAHP,Other,HIV/AIDS,AIDS Healthcare Foundation,7/1/2018,6/30/2019,2019,5584242.0,9515813.0,7571.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,CalOptima,7/1/2018,6/30/2019,2019,2334395773.0,2508563415.0,7575937.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,CenCal Health,7/1/2018,6/30/2019,2019,682292799.0,714210803.0,2125868.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,Central Coast Alliance for Health,7/1/2018,6/30/2019,2019,1230647894.0,1216739467.0,4139329.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,Gold Coast HP,7/1/2018,6/30/2019,2019,730424458.0,723379940.0,2389951.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,HP of San Mateo,7/1/2018,6/30/2019,2019,450710777.0,481812704.0,1174796.0,,
CA,COHS,Comprehensive MCO + MLTSS,All populations,,Partnership HP of  CA,7/1/2018,6/30/2019,2019,2615397253.0,2719234497.0,6658998.0,,
CA,Dental Managed Care,Dental only,All populations,,Access Dental Plan,7/1/2018,6/30/2019,2019,37182629.0,50427882.0,3449465.0,,
CA,Dental Managed Care,Dental only,All populations,,Health Net Dental Plan,7/1/2018,6/30/2019,2019,38077510.0,55466142.0,3686273.0,,
CA,Dental Managed Care,Dental only,All populations,,Liberty Dental Plan,7/1/2018,6/30/2019,2019,34015413.0,41868801.0,2716319.0,,
CA,Geographic MC Model,Comprehensive MCO + MLTSS,All populations,,Aetna Better Health,7/1/2018,6/30/2019,2019,42262317.0,45758796.0,143743.0,,
CA,Geographic MC Model,Comprehensive MCO + MLTSS,All populations,,CA Health & Wellness,7/1/2018,6/30/2019,2019,720116945.0,763545896.0,2369681.0,,
CA,Geographic MC Model,Comprehensive MCO + MLTSS,All populations,,Community Health Group,7/1/2018,6/30/2019,2019,917372504.0,951102504.0,3002660.0,,
CA,Geographic MC Model,Comprehensive MCO + MLTSS,All populations,,Kaiser Foundation HP,7/1/2018,6/30/2019,2019,631233551.0,633757196.0,1695154.0,,
CA,Geographic MC Model,Comprehensive MCO + MLTSS,All populations,,United Healthcare,7/1/2018,6/30/2019,2019,36760258.0,38471483.0,117698.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,Alameda Alliance for Health,7/1/2018,6/30/2019,2019,906766795.0,938559377.0,3101342.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,CalViva Health,7/1/2018,6/30/2019,2019,1157629202.0,1230263191.0,4325261.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,Contra Costa HP,7/1/2018,6/30/2019,2019,764924602.0,794433951.0,2147237.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,HP of  San Joaquin,7/1/2018,6/30/2019,2019,1141387605.0,1193218339.0,4124371.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,Kern Health Systems,7/1/2018,6/30/2019,2019,857481965.0,892889629.0,2973026.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,LA Care HP,7/1/2018,6/30/2019,2019,5574177107.0,6231044098.0,22166164.0,,
CA,Two Plan Model,Comprehensive MCO + MLTSS,All populations,,Santa Clara Family HP,7/1/2018,6/30/2019,2019,696034762.0,732006000.0,2638525.0,,
CA,"Two Plan Model, Geographic MC Model",Comprehensive MCO + MLTSS,All populations,,Blue Shield of California,7/1/2018,6/30/2019,2019,389391411.0,418421026.0,907012.0,,
CA,"Two Plan Model, Geographic MC Model",Comprehensive MCO + MLTSS,All populations,,Health Net California,7/1/2018,6/30/2019,2019,3855117258.0,4405565005.0,15475028.0,,
CA,"Two Plan Model, Health Homes",Comprehensive MCO + MLTSS,All populations,,Inland Empire HP,7/1/2018,6/30/2019,2019,4608781169.0,4816355423.0,14086414.0,,
CA,"Two Plan Model, Health Homes",Comprehensive MCO + MLTSS,All populations,,San Francisco Health Plan,7/1/2018,6/30/2019,2019,478188015.0,534973520.0,1538115.0,,
CA,"Two Plan Model, Regional Model, Geographic MC Model, Health Homes",Comprehensive MCO + MLTSS,All populations,,Anthem Blue Cross,7/1/2018,6/30/2019,2019,2272643043.0,2549115185.0,8859112.0,,
CA,"Two Plan Model, Regional Model, Geographic MC Model, Health Homes",Comprehensive MCO + MLTSS,All populations,,Molina Healthcare,7/1/2018,6/30/2019,2019,1401923602.0,1607588768.0,4993027.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Aetna Better Health,1/1/2019,12/31/2019,2019,136378.0,24153.0,26.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Anthem Blue Cross,1/1/2019,12/31/2019,2019,52306348.0,55118742.0,137596.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Blue Shield of California,1/1/2019,12/31/2019,2019,101480796.0,105562508.0,157067.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,CalOptima,1/1/2019,12/31/2019,2019,419347119.0,459382008.0,920587.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Community Health Group,1/1/2019,12/31/2019,2019,72915647.0,71382881.0,180004.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Health Net California,1/1/2019,12/31/2019,2019,945289380.0,969088254.0,1542252.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Health Plan of San Mateo,1/1/2019,12/31/2019,2019,66471996.0,66967545.0,86687.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Inland Empire HP,1/1/2019,12/31/2019,2019,300899795.0,335437469.0,677136.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,KP Cal,1/1/2019,12/31/2019,2019,29617953.0,30824355.0,72353.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,LA Care  ,1/1/2019,12/31/2019,2019,1072339023.0,1150719989.0,2571749.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Molina Healthcare,1/1/2019,12/31/2019,2019,124295014.0,146162593.0,297458.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,Santa Clara Family HP,1/1/2019,12/31/2019,2019,141710779.0,149078296.0,307327.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,SCAN Health Plan,1/1/2019,12/31/2019,2019,53849280.0,58613738.0,161130.0,,
CA,Coordinated Care Initiative (CCI),Comprehensive MCO + MLTSS,All populations,,United Healthcare,1/1/2019,12/31/2019,2019,1172599.0,1209437.0,2101.0,,
CA,Medicaid SFY 19-20,Dental only,All populations,,Access Dental Plan,7/1/2019,6/30/2020,2020,35822779.0,50394482.0,3129116.0,,7012530.0
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Aetna Better Health,7/1/2019,6/30/2020,2020,86650410.0,87823734.0,240949.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Aids HealthCare Foundation,7/1/2019,6/30/2020,2020,18840923.0,15924762.0,7446.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Alameda Alliance for Health,7/1/2019,6/30/2020,2020,983450047.0,1080855204.0,2968498.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Anthem Blue Cross,7/1/2019,6/30/2020,2020,2234078024.0,2505071952.0,8656487.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Blue Shield Promise Health,7/1/2019,6/30/2020,2020,386018982.0,384914032.0,815917.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,CA Health and Wellness,7/1/2019,6/30/2020,2020,778217596.0,837932018.0,2359905.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,CalOptima,7/1/2019,6/30/2020,2020,2923221201.0,3103864120.0,7764972.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,CalViva Health,7/1/2019,6/30/2020,2020,1274268462.0,1343720083.0,4259503.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,CenCal Health,7/1/2019,6/30/2020,2020,823017022.0,831779701.0,2612683.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Central CA Alliance for Health,7/1/2019,6/30/2020,2020,1494567416.0,1563132735.0,4058206.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Community Health Group,7/1/2019,6/30/2020,2020,955758038.0,992150185.0,2817537.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Contra Costa Health Plan,7/1/2019,6/30/2020,2020,791632349.0,838259909.0,2093574.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Gold Coast Health Plan,7/1/2019,6/30/2020,2020,888913827.0,949636187.0,2357820.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Health Net of CA,7/1/2019,6/30/2020,2020,4087755220.0,4559435422.0,14846442.0,,
CA,Medicaid SFY 19-20,Dental only,All populations,,Health Net of California,7/1/2019,6/30/2020,2020,34948157.0,56934642.0,3596820.0,,13446288.0
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Health Plan of San Joaquin,7/1/2019,6/30/2020,2020,1239915577.0,1312667149.0,4056470.0,,
CA,Medicaid SFY 19-20,Comprehensive MCO,All populations,,Health Plan of San Mateo,7/1/2019,6/30/2020,2020,467401717.0,463656226.0,1136675.0,,
